horodatage_local,velos_disponibles,bornes_libres,stations_vides,stations_pleines
2026-09-22 15:28:47,163,492,7,0
2026-09-22 15:29:47,164,491,7,0
2026-09-22 15:30:48,164,491,7,0
2026-09-22 15:31:48,164,491,7,0
2026-09-22 15:32:48,164,491,7,0
2026-09-22 15:33:49,164,491,7,0
2026-09-22 15:34:49,164,491,7,0
2026-09-22 15:35:49,164,491,7,0
2026-09-22 15:36:49,164,491,7,0
2026-09-22 15:37:50,164,491,7,0
2026-09-22 15:38:50,164,491,7,0
2026-09-22 15:39:50,164,491,7,0
2026-09-22 15:40:50,164,491,7,0
2026-09-22 15:41:50,164,491,7,0
2026-09-22 15:42:51,164,491,7,0
2026-09-22 15:43:51,164,491,7,0
2026-09-22 15:44:52,164,491,7,0
2026-09-22 15:45:52,164,491,7,0
2026-09-22 15:46:52,164,491,7,0
2026-09-22 15:47:52,164,491,7,0
2026-09-22 15:48:53,164,491,7,0
2026-09-22 15:49:53,163,492,7,0
2026-09-22 15:50:53,163,492,7,0
2026-09-22 15:51:53,162,493,7,0
2026-09-22 15:52:54,162,493,7,0
2026-09-22 15:53:54,164,491,7,0
2026-09-22 15:54:54,164,491,7,0
2026-09-22 15:55:55,164,491,7,0
2026-09-22 15:56:55,164,491,7,0
2026-09-22 15:57:55,165,490,7,0
2026-09-22 15:58:55,165,490,7,0
2026-09-22 15:59:56,165,490,7,0
2026-09-22 16:00:56,165,490,7,0
2026-09-22 16:01:56,165,490,7,0
2026-09-22 16:02:56,167,488,7,0
2026-09-22 16:03:57,165,490,7,0
2026-09-22 16:04:57,165,489,7,0
2026-09-22 16:05:57,165,489,7,0
2026-09-22 16:06:57,164,490,7,0
2026-09-22 16:07:57,163,491,7,0
2026-09-22 16:08:58,161,493,8,0
2026-09-22 16:09:58,161,493,8,0
2026-09-22 16:10:58,161,493,8,0
2026-09-22 16:11:58,161,493,8,0
2026-09-22 16:12:59,161,493,8,0
2026-09-22 16:13:59,161,493,8,0
2026-09-22 16:14:59,163,491,8,0
2026-09-22 16:15:59,162,492,8,0
2026-09-22 16:17:00,162,492,8,0
2026-09-22 16:18:00,162,492,8,0
2026-09-22 16:19:00,163,491,8,0
2026-09-22 16:20:00,163,491,8,0
2026-09-22 16:21:01,163,491,8,0
2026-09-22 16:22:01,163,491,8,0
2026-09-22 16:23:01,163,491,8,0
2026-09-22 16:24:02,163,491,8,0
2026-09-22 16:25:02,164,490,8,0
2026-09-22 16:26:02,164,490,8,0
2026-09-22 16:27:02,164,490,8,0
2026-09-22 16:28:03,164,490,8,0
2026-09-22 16:29:03,164,490,8,0
2026-09-22 16:30:03,164,490,8,0
2026-09-22 16:31:03,164,490,8,0
2026-09-22 16:32:05,164,490,8,0
2026-09-22 16:33:09,164,490,8,0
2026-09-22 16:34:09,164,490,8,0
2026-09-22 16:35:09,165,489,8,0
2026-09-22 16:36:10,168,486,8,0
2026-09-22 16:37:10,167,487,8,0
2026-09-22 16:38:10,165,489,9,0
2026-09-22 16:39:10,165,489,9,0
2026-09-22 16:40:11,165,489,9,0
2026-09-22 16:41:11,165,489,9,0
2026-09-22 16:42:11,165,489,9,0
2026-09-22 16:43:11,165,489,9,0
2026-09-22 16:44:12,166,488,9,0
2026-09-22 16:45:12,165,489,9,0
2026-09-22 16:46:13,167,487,9,0
2026-09-22 16:47:13,167,487,9,0
2026-09-22 16:48:13,165,489,9,0
2026-09-22 16:49:14,167,487,9,0
2026-09-22 16:50:14,167,487,9,0
2026-09-22 16:51:14,168,486,9,0
2026-09-22 16:52:14,167,487,9,0
2026-09-22 16:53:15,168,486,9,0
2026-09-22 16:54:15,168,486,9,0
2026-09-22 16:55:15,169,485,8,0
2026-09-22 16:56:16,170,484,8,0
2026-09-22 16:57:16,170,484,8,0
2026-09-22 16:58:16,170,484,8,0
2026-09-22 16:59:16,170,484,8,0
2026-09-22 17:00:17,170,484,8,0
2026-09-22 17:01:17,170,484,8,0
2026-09-22 17:02:17,169,485,8,0
2026-09-22 17:03:18,168,486,8,0
2026-09-22 17:04:18,168,486,8,0
2026-09-22 17:05:18,169,486,8,0
2026-09-22 17:06:19,169,486,8,0
2026-09-22 17:07:19,169,486,8,0
2026-09-22 17:08:19,168,487,8,0
2026-09-22 17:09:19,168,487,8,0
2026-09-22 17:10:19,168,487,8,0
2026-09-22 17:11:20,167,488,8,0
2026-09-22 17:12:20,167,488,8,0
2026-09-22 17:13:21,167,488,8,0
2026-09-22 17:14:21,168,487,8,0
2026-09-22 17:15:21,167,488,8,0
2026-09-22 17:16:21,166,489,8,0
2026-09-22 17:17:22,165,490,8,0
2026-09-22 17:18:22,166,489,8,0
2026-09-22 17:19:22,166,489,8,0
2026-09-22 17:20:22,165,490,8,0
2026-09-22 17:21:22,165,490,8,0
2026-09-22 17:22:23,166,489,8,0
2026-09-22 17:23:23,166,489,8,0
2026-09-22 17:24:23,167,488,7,0
2026-09-22 17:25:24,167,488,7,0
2026-09-22 17:26:24,167,488,7,0
2026-09-22 17:27:24,167,488,7,0
2026-09-22 17:28:24,167,488,7,0
2026-09-22 17:29:25,167,488,7,0
2026-09-22 17:30:25,167,488,7,0
2026-09-22 17:31:25,167,488,7,0
2026-09-22 17:32:25,167,488,7,0
2026-09-22 17:33:26,166,489,7,0
2026-09-22 17:34:26,166,489,7,0
2026-09-22 17:35:26,166,489,7,0
2026-09-22 17:36:26,167,488,7,0
2026-09-22 17:37:27,167,488,7,0
2026-09-22 17:38:27,167,488,7,0
2026-09-22 17:39:27,166,489,7,0
2026-09-22 17:40:28,166,489,7,0
2026-09-22 17:41:28,166,489,7,0
2026-09-22 17:42:28,165,490,7,0
2026-09-22 17:43:28,165,490,7,0
2026-09-22 17:44:29,165,490,7,0
2026-09-22 17:45:29,164,491,7,0
2026-09-22 17:46:29,164,491,7,0
2026-09-22 17:47:29,165,490,7,0
2026-09-22 17:48:30,164,491,8,0
2026-09-22 17:49:30,164,491,8,0
2026-09-22 17:50:30,166,489,7,0
2026-09-22 17:51:30,166,489,7,0
2026-09-22 17:52:31,166,489,7,0
2026-09-22 17:53:31,166,489,7,0
2026-09-22 17:54:31,166,489,7,0
2026-09-22 17:55:31,166,489,7,0
2026-09-22 17:56:32,166,489,7,0
2026-09-22 17:57:32,166,489,7,0
2026-09-22 17:58:32,166,489,7,0
2026-09-22 17:59:32,166,489,7,0
2026-09-22 18:00:33,166,489,7,0
2026-09-22 18:01:33,166,489,7,0
2026-09-22 18:02:33,166,489,7,0
2026-09-22 18:03:33,168,487,6,0
2026-09-22 18:04:34,168,487,6,0
2026-09-22 18:05:34,168,487,6,0
2026-09-22 18:06:34,169,486,6,0
2026-09-22 18:07:34,169,486,6,0
2026-09-22 18:08:35,169,486,6,0
2026-09-22 18:09:35,169,486,6,0
2026-09-22 18:10:35,169,486,6,0
2026-09-22 18:11:35,169,486,6,0
2026-09-22 18:12:36,169,486,6,0
2026-09-22 18:13:36,168,487,6,0
2026-09-22 18:14:36,167,488,6,0
2026-09-22 18:15:37,170,485,6,0
2026-09-22 18:16:37,169,486,6,0
2026-09-22 18:17:37,169,486,6,0
2026-09-22 18:18:37,169,486,6,0
2026-09-22 18:19:37,169,486,6,0
2026-09-22 18:20:38,169,486,6,0
2026-09-22 18:21:38,168,487,6,0
2026-09-22 18:22:38,168,487,6,0
2026-09-22 18:23:38,169,486,6,0
2026-09-22 18:24:39,168,487,6,0
2026-09-22 18:25:39,168,487,6,0
2026-09-22 18:26:39,169,486,6,0
2026-09-22 18:27:40,170,485,6,0
2026-09-22 18:28:40,168,487,7,0
2026-09-22 18:29:40,168,487,7,0
2026-09-22 18:30:40,168,487,7,0
2026-09-22 18:31:40,168,487,7,0
2026-09-22 18:32:41,168,487,7,0
2026-09-22 18:33:41,167,488,7,0
2026-09-22 18:34:42,166,489,7,0
2026-09-22 18:35:42,166,489,7,0
2026-09-22 18:36:42,166,489,7,0
2026-09-22 18:37:43,165,490,7,0
2026-09-22 18:38:43,165,490,7,0
2026-09-22 18:39:43,166,489,7,0
2026-09-22 18:40:43,167,488,7,0
2026-09-22 18:41:43,166,489,7,0
2026-09-22 18:42:44,166,489,7,0
2026-09-22 18:43:44,166,489,7,0
2026-09-22 18:44:44,166,489,7,0
2026-09-22 18:45:44,166,489,7,0
2026-09-22 18:46:45,166,489,7,0
2026-09-22 18:47:45,165,490,7,0
2026-09-22 18:48:45,164,491,7,0
2026-09-22 18:49:46,165,490,7,0
2026-09-22 18:50:46,165,490,7,0
2026-09-22 18:51:46,165,490,7,0
2026-09-22 18:52:46,166,489,7,0
2026-09-22 18:53:46,166,489,7,0
2026-09-22 18:54:47,166,489,7,0
2026-09-22 18:55:47,168,487,7,0
2026-09-22 18:56:47,168,487,7,0
2026-09-22 18:57:48,170,485,7,0
2026-09-22 18:58:48,170,485,7,0
2026-09-22 18:59:48,170,485,7,0
2026-09-22 19:00:48,170,485,7,0
2026-09-22 19:01:48,170,485,7,0
2026-09-22 19:02:49,169,486,7,0
2026-09-22 19:03:49,168,487,7,0
2026-09-22 19:04:49,170,485,7,0
2026-09-22 19:05:49,170,485,7,0
2026-09-22 19:06:50,170,485,7,0
2026-09-22 19:07:50,171,484,7,0
2026-09-22 19:08:50,171,484,7,0
2026-09-22 19:09:50,171,484,7,0
2026-09-22 19:10:51,171,484,7,0
2026-09-22 19:11:51,171,484,7,0
2026-09-22 19:12:51,171,484,7,0
2026-09-22 19:13:51,171,484,7,0
2026-09-22 19:14:52,171,484,7,0
2026-09-22 19:15:52,171,484,7,0
2026-09-22 19:16:52,171,484,7,0
2026-09-22 19:17:52,171,484,7,0
2026-09-22 19:18:53,171,484,7,0
2026-09-22 19:19:53,170,485,7,0
2026-09-22 19:20:53,170,485,7,0
2026-09-22 19:21:53,170,485,7,0
2026-09-22 19:22:54,169,486,7,0
2026-09-22 19:23:54,168,487,7,0
2026-09-22 19:24:54,168,487,7,0
2026-09-22 19:25:55,167,488,7,0
2026-09-22 19:26:55,165,490,7,0
2026-09-22 19:27:55,165,490,7,0
2026-09-22 19:28:55,169,486,6,0
2026-09-22 19:29:56,169,486,6,0
2026-09-22 19:30:56,169,486,6,0
2026-09-22 19:31:56,169,486,6,0
2026-09-22 19:32:57,170,485,6,0
2026-09-22 19:33:57,169,486,6,0
2026-09-22 19:34:58,169,486,6,0
2026-09-22 19:35:58,169,486,6,0
2026-09-22 19:36:58,169,486,6,0
2026-09-22 19:37:58,169,486,6,0
2026-09-22 19:38:59,170,485,6,0
2026-09-22 19:39:59,171,484,6,0
2026-09-22 19:40:59,172,483,6,0
2026-09-22 19:41:59,172,483,6,0
2026-09-22 19:43:00,172,483,6,0
2026-09-22 19:44:00,172,483,6,0
2026-09-22 19:45:00,172,483,6,0
2026-09-22 19:46:00,171,484,6,0
2026-09-22 19:47:01,172,483,6,0
2026-09-22 19:48:01,172,483,6,0
2026-09-22 19:49:01,173,482,6,0
2026-09-22 19:50:01,173,482,6,0
2026-09-22 19:51:02,173,482,6,0
2026-09-22 19:52:02,173,482,6,0
2026-09-22 19:53:02,173,482,6,0
2026-09-22 19:54:03,172,483,7,0
2026-09-22 19:55:03,173,482,7,0
2026-09-22 19:56:03,173,482,7,0
2026-09-22 19:57:03,173,482,7,0
2026-09-22 19:58:04,173,482,7,0
2026-09-22 19:59:04,173,482,7,0
2026-09-22 20:00:04,171,484,7,0
2026-09-22 20:01:04,172,483,7,0
2026-09-22 20:02:05,172,483,7,0
2026-09-22 20:03:05,171,484,7,0
2026-09-22 20:04:05,171,485,7,0
2026-09-22 20:05:05,170,485,8,0
2026-09-22 20:06:06,170,485,8,0
2026-09-22 20:07:06,173,482,7,0
2026-09-22 20:08:06,173,482,7,0
2026-09-22 20:09:06,172,483,7,0
2026-09-22 20:10:07,172,483,6,0
2026-09-22 20:11:07,173,482,6,0
2026-09-22 20:12:07,173,482,6,0
2026-09-22 20:13:07,173,482,6,0
2026-09-22 20:14:08,173,482,6,0
2026-09-22 20:15:08,172,483,6,0
2026-09-22 20:16:08,172,483,6,0
2026-09-22 20:17:08,172,483,6,0
2026-09-22 20:18:09,171,484,6,0
2026-09-22 20:19:09,171,484,6,0
2026-09-22 20:20:09,171,484,6,0
2026-09-22 20:21:09,171,484,6,0
2026-09-22 20:22:10,173,482,6,0
2026-09-22 20:23:10,173,482,6,0
2026-09-22 20:24:11,173,482,6,0
2026-09-22 20:25:12,173,482,6,0
2026-09-22 20:26:12,174,481,5,0
2026-09-22 20:27:12,174,481,5,0
2026-09-22 20:28:12,173,482,6,0
